user;PR;comments;coments_review;commit;changed_files;add_lines;delete_lines
pbyrne;1932;3;0;2;2;50;0
jfelchner;1977;5;3;0;0;0;0
benjaminleesmith;1994;4;0;0;0;0;0
pol;2019;2;0;1;1;4;2
ipoval;2044;2;0;1;1;1;1
arkadiyk;2062;16;0;1;1;1;1
tgildea;2072;5;3;1;4;50;10
sethvargo;1993;37;6;0;0;0;0
jkrall;2079;3;1;1;2;43;1
mdoza;2096;2;1;3;2;32;0
sespindola;14953;2;0;1;1;1;0
sespindola;2170;6;1;2;3;10;7
hmcfletch;5034;23;1;8;3;155;26
hmcfletch;2175;1;0;2;5;43;3
gkfabs;2180;7;0;0;0;0;0
unamashana;2200;35;4;3;3;54;1
jasnow;9736;7;0;1;4;5;5
jasnow;2202;2;0;1;1;8;4
gnagno;2206;1;0;1;1;1;1
skippy;2227;12;0;1;2;13;0
tanelsuurhans;2264;2;0;1;1;1;1
arthurpsmith;2323;15;0;5;2;5;4
zubin;2409;1;0;0;0;0;0
Arsen7;2418;11;0;1;2;10;2
olek;2423;2;0;0;0;0;0
JeanMertz;2432;0;0;0;0;0;0
fastcatch;2433;1;0;2;1;5;3
valakirka;2441;2;0;1;3;50;7
jigfox;13146;8;0;1;2;12;1
jigfox;2664;5;3;1;2;7;1
jigfox;2472;2;0;1;1;3;0
ehlertij;2480;5;0;1;1;1;1
thinkerbot;2481;10;0;2;6;34;1
moro;2482;3;0;2;2;8;1
aglasgall;2487;2;0;1;2;12;1
pootsbook;2505;6;0;0;0;0;0
tekwiz;2520;3;0;1;2;46;1
tekwiz;2515;3;0;1;2;73;2
BrentWheeldon;2521;8;0;0;0;0;0
spangenberg;2529;2;0;1;1;1;0
german;2555;17;13;5;12;200;18
sandstrom;2578;2;0;0;0;0;0
ingeniarius;2599;6;5;3;2;9;1
karlseguin;2630;6;0;0;0;0;0
karlseguin;2617;2;0;0;0;0;0
vrinek;2623;5;2;2;1;7;2
bartocc;2626;4;0;1;2;4;2
jroes;9552;11;25;1;10;176;97
jroes;2643;3;0;1;2;5;3
god;2648;5;0;1;1;1;1
